"Id" "parto" "ap" "cr" "cc" "ppd" "ano" "epoca" "edad"
"88" "2377" 12 13 "CR4" 3.5 9.63 2007 "B" 167
"89" "2377" 13 15 "CR4" 3.083333 9.45 2008 "D" 182
"90" "2377" 14 16 "CR4" 3 6.8 2010 "B" 202
"94" "2384" 7 9 "CR3" 3.625 12.34 2003 "B" 117
"95" "2384" 8 10 "CR3" 3.375 11.02 2004 "C" 131
"96" "2384" 9 12 "CR3" 2.916667 6.92 2005 "C" 144
"97" "2389" 6 9 "CR4" 3.375 10.17 2003 "B" 117
"98" "2405" 5 8 "CR3" 3.75 11.19 2002 "B" 103
"99" "2405" 6 9 "CR3" 3.5 14.61 2003 "C" 119
"100" "2412" 6 8 "CR3" 3 10.19 2002 "B" 104
"101" "2412" 7 9 "CR3" 3.25 11.29 2003 "B" 116
"102" "2412" 8 10 "CR3" 3.5 10.12 2004 "B" 127
"103" "2412" 9 11 "CR3" 2.666667 8.15 2005 "C" 143
"104" "2413" 6 8 "CR4" 3.5 11.94 2002 "C" 104
"105" "2413" 7 10 "CR4" 3.5 17.63 2003 "D" 120
"106" "2413" 8 11 "CR4" 3.3125 11.14 2004 "D" 132
"112" "2419" 6 8 "CR3" 3.5 16.08 2002 "B" 101
"113" "2419" 7 9 "CR3" 3.625 14.47 2003 "B" 113
"114" "2419" 8 10 "CR3" 3.625 13.83 2004 "B" 124
"115" "2419" 9 11 "CR3" 3.4375 13.33 2005 "A" 135
"107" "2419" 10 12 "CR3" 3.5 11.66 2006 "A" 147
"108" "2419" 11 13 "CR3" 3.375 10.76 2007 "A" 159
"109" "2419" 12 14 "CR3" 3.25 8.75 2008 "A" 172
"110" "2419" 13 15 "CR3" 3.083333 10.9 2009 "B" 186
"111" "2419" 14 16 "CR3" 2.75 8.04 2010 "D" 203
"116" "2431" 6 8 "CR3" 3.5 8.88 2002 "C" 103
"117" "2432" 6 8 "CR4" 3.75 11.13 2002 "C" 104
"118" "2432" 7 9 "CR4" 3.5 10.92 2003 "C" 117
"119" "2432" 8 11 "CR4" 3.5 11.17 2004 "D" 132
"120" "2437" 6 9 "CR4" 3.5 10.63 2003 "A" 110
"121" "2437" 7 10 "CR4" 3.625 12.84 2004 "B" 123
"122" "2437" 8 11 "CR4" 3.5 10.72 2005 "A" 134
"123" "2437" 9 11 "CR4" 3.625 3.93 2005 "D" 143
"124" "2462" 6 9 "CR3" 3.875 11.25 2003 "B" 109
"125" "2462" 7 10 "CR3" 3.5 11.91 2004 "B" 120
"126" "2464" 6 9 "CR3" 3.75 9.82 2003 "B" 111
"127" "2464" 7 10 "CR3" 3.75 8.98 2004 "B" 122
"128" "2464" 8 11 "CR3" 3.25 10.02 2005 "B" 134
"129" "2465" 6 8 "CR3" 3.375 14.68 2003 "A" 107
"130" "2468" 5 8 "CR3" 3.5 12.83 2002 "D" 102
"131" "2468" 6 9 "CR3" 3.625 10.41 2003 "D" 115
"132" "2482" 6 8 "CR3" 3.25 14.29 2003 "A" 105
"133" "2482" 7 9 "CR3" 3.5 14.39 2004 "A" 118
"134" "2483" 6 8 "CR3" 3.75 11.47 2002 "D" 102
"135" "2483" 7 9 "CR3" 3.375 11.59 2003 "D" 114
"136" "2484" 6 8 "CR4" 3 7.85 2002 "C" 99
"137" "2490" 6 8 "CR4" 3.5 6.59 2002 "D" 100
"138" "2493" 5 8 "CR3" 3.75 7.26 2002 "D" 100
"139" "2493" 6 9 "CR3" 3.875 9.86 2003 "D" 112
