"Id" "parto" "ap" "cr" "cc" "ppd" "ano" "epoca" "edad"
"388" "2809" 10 13 "CR4" 3.5 6.66 2009 "D" 157
"396" "2811" 3 6 "CR4" 3.25 12.61 2003 "A" 77
"397" "2811" 4 7 "CR4" 3.25 12.16 2004 "A" 90
"398" "2811" 5 8 "CR4" 2.625 9.67 2005 "A" 102
"399" "2813" 2 6 "CR4" 3.5 9.92 2002 "C" 72
"400" "2813" 3 6 "CR4" 3.375 9.87 2003 "C" 83
"401" "2813" 4 8 "CR4" 3.25 10.06 2004 "C" 96
"402" "2818" 3 6 "CR4" 3.75 9.59 2003 "A" 76
"403" "2818" 4 7 "CR4" 3.625 13.44 2004 "A" 89
"404" "2818" 5 8 "CR4" 3.5625 11.81 2005 "A" 100
"405" "2818" 6 9 "CR4" 3.583333 11.27 2006 "B" 116
"406" "2819" 4 6 "CR3" 3.625 11.87 2003 "A" 78
"407" "2819" 5 7 "CR3" 3.75 12.81 2004 "A" 90
"408" "2819" 6 8 "CR3" 3.5625 10.88 2005 "A" 102
"409" "2819" 7 9 "CR3" 3.583333 10.1 2006 "B" 116
"410" "2821" 2 5 "CR4" 3.25 12.19 2002 "B" 67
"411" "2821" 3 6 "CR4" 3.5 11.57 2003 "C" 82
"412" "2821" 4 7 "CR4" 3.416667 10.78 2004 "C" 94
"413" "2821" 5 9 "CR4" 3.5 9.03 2005 "D" 111
"414" "2824" 3 6 "CR4" 3.75 8.63 2003 "A" 77
"415" "2824" 4 8 "CR4" 3.5 9.55 2005 "A" 99
"416" "2825" 3 5 "CR4" 3.25 14.64 2002 "C" 71
"417" "2825" 4 6 "CR4" 3.5 14.04 2003 "C" 82
"418" "2825" 5 8 "CR4" 3.333333 15.13 2004 "D" 97
"419" "2825" 6 9 "CR4" 3.25 12.2 2005 "D" 108
"420" "2825" 7 10 "CR4" 3.083333 11.47 2006 "D" 123
"421" "2825" 8 11 "CR4" 3.25 10.75 2008 "A" 135
"422" "2825" 9 12 "CR4" 2.916667 8.9 2009 "A" 150
"423" "2826" 3 6 "CR4" 3.5 12.37 2003 "A" 75
"424" "2826" 4 7 "CR4" 3.625 13.93 2004 "A" 88
"425" "2826" 5 8 "CR4" 3.4375 12.67 2005 "A" 99
"426" "2826" 6 9 "CR4" 3.75 11.34 2006 "A" 112
"427" "2826" 7 10 "CR4" 3.5 11.13 2007 "A" 124
"428" "2827" 3 6 "CR4" 3.75 9.63 2003 "B" 78
"429" "2836" 2 5 "CR4" 3.25 8.63 2002 "B" 67
"430" "2836" 3 7 "CR4" 3.625 11.29 2004 "B" 90
"431" "2836" 4 8 "CR4" 3.4375 9.54 2005 "B" 102
"432" "2836" 5 10 "CR4" 3.416667 10.28 2006 "D" 120
"433" "2836" 6 11 "CR4" 3.375 9.77 2007 "D" 133
"434" "2837" 3 6 "CR4" 3.5 9.51 2003 "A" 75
"435" "2837" 4 7 "CR4" 3.75 11.28 2004 "A" 86
"436" "2837" 5 8 "CR4" 3.5625 9.69 2005 "B" 101
"437" "2837" 6 9 "CR4" 3.583333 8.63 2006 "C" 116
"438" "2837" 7 11 "CR4" 3.625 8.08 2008 "A" 134
"439" "2840" 3 6 "CR4" 3.75 12.3 2003 "A" 75
"440" "2840" 4 7 "CR4" 3.625 12.9 2004 "A" 87
"441" "2840" 5 8 "CR4" 3.4375 11.07 2005 "B" 101
"442" "2840" 6 9 "CR4" 3.5625 12.44 2006 "C" 117
"443" "2842" 2 5 "CR3" 3.5 10.73 2002 "B" 65
"444" "2842" 3 6 "CR3" 3.5 11.23 2003 "C" 80
"445" "2842" 4 8 "CR3" 3.166667 11.14 2004 "D" 96
"446" "2842" 5 8 "CR3" 3.125 9.63 2005 "D" 107
"447" "2842" 6 10 "CR3" 2.916667 9.26 2006 "D" 120
"448" "2842" 7 11 "CR3" 2.625 8.01 2008 "A" 133
"449" "2844" 3 6 "CR3" 3.625 10.16 2003 "B" 76
"450" "2848" 2 5 "CR4" 3.5 8.49 2002 "C" 67
"451" "2849" 3 6 "CR4" 3.5 11.82 2003 "A" 75
"452" "2849" 4 7 "CR4" 3.75 12.58 2004 "A" 85
"453" "2849" 5 8 "CR4" 3.5625 9.47 2005 "A" 97
"454" "2849" 6 9 "CR4" 3.375 7.54 2006 "A" 108
"455" "2850" 2 5 "CR4" 3.25 10.13 2002 "B" 65
"456" "2850" 3 6 "CR4" 3.625 12.1 2003 "B" 76
"457" "2850" 4 7 "CR4" 3.625 12.15 2004 "B" 89
"458" "2852" 3 6 "CR3" 3.75 11.34 2003 "A" 72
"459" "2852" 4 6 "CR3" 3.75 12.45 2003 "D" 83
"460" "2852" 5 7 "CR3" 3.666667 11.53 2004 "D" 94
"461" "2854" 3 6 "CR4" 3.5 10.91 2003 "B" 74
"462" "2854" 4 7 "CR4" 3.4375 11.04 2004 "C" 92
"463" "2854" 5 9 "CR4" 2.666667 10.31 2006 "C" 113
"464" "2855" 2 5 "CR4" 3.5 13.15 2003 "A" 71
"465" "2855" 3 7 "CR4" 3.375 13.83 2004 "B" 87
"466" "2855" 4 8 "CR4" 2.9375 12.9 2005 "B" 99
"467" "2855" 5 9 "CR4" 3 11.15 2006 "B" 111
"468" "2855" 6 10 "CR4" 3 10.41 2007 "C" 127
"469" "2856" 2 5 "CR4" 3.5 13.58 2002 "B" 63
"470" "2856" 3 6 "CR4" 3.5 11.53 2003 "B" 75
"471" "2857" 3 6 "CR3" 3.75 10.2 2003 "B" 77
"472" "2861" 3 5 "CR3" 3.5 15.51 2003 "A" 71
"473" "2861" 4 7 "CR3" 3.625 16.62 2004 "A" 84
"474" "2863" 2 5 "CR4" 3.25 10.31 2002 "B" 62
"475" "2863" 3 6 "CR4" 3.625 13.26 2003 "C" 79
"476" "2863" 4 7 "CR4" 3.666667 14.56 2004 "D" 93
"477" "2863" 5 8 "CR4" 2.75 12.84 2005 "D" 104
"478" "2864" 3 5 "CR4" 3.5 9.28 2002 "D" 70
"479" "2867" 2 5 "CR4" 3.5 7.82 2002 "D" 69
"480" "2867" 3 6 "CR4" 3.875 9.16 2004 "A" 82
"481" "2867" 4 7 "CR4" 3.583333 9.64 2005 "A" 95
"482" "2875" 2 5 "CR2" 3.25 10.5 2002 "B" 62
"483" "2875" 3 6 "CR2" 3.625 8.91 2003 "B" 75
"484" "2875" 4 7 "CR2" 3.5 10.44 2004 "B" 86
"485" "2877" 3 5 "CR2" 3.5 8.79 2003 "A" 70
"486" "2878" 3 5 "CR2" 3.25 6.68 2003 "A" 70
"487" "2883" 3 5 "CR2" 3.25 9.32 2002 "D" 69
"488" "2887" 3 5 "CR2" 3.5 7.47 2002 "D" 69
"489" "2889" 3 5 "CR2" 3.5 10.4 2003 "A" 69
"490" "2890" 2 5 "CR2" 3.5 7.68 2002 "D" 66
"491" "2892" 2 5 "CR2" 3.5 7.66 2002 "B" 61
"492" "2892" 3 6 "CR2" 3.75 11.13 2003 "B" 73
"493" "2892" 4 7 "CR2" 3.666667 12.13 2004 "D" 92
"494" "2892" 5 8 "CR2" 3.625 9.19 2005 "D" 103
"495" "2892" 6 9 "CR2" 3.5 9.51 2007 "A" 118
"496" "2892" 7 10 "CR2" 3.375 7.58 2008 "A" 129
"498" "2893" 3 5 "CR2" 3.5 10.75 2002 "D" 68
"499" "2893" 4 6 "CR2" 3.625 12.53 2004 "A" 83
"500" "2893" 5 7 "CR2" 3.6875 12.29 2005 "A" 94
"501" "2893" 6 8 "CR2" 3.625 11.1 2006 "A" 107
"502" "2893" 7 9 "CR2" 3.75 10.44 2007 "A" 119
"503" "2893" 8 11 "CR2" 3.875 12.55 2008 "D" 140
"504" "2893" 9 12 "CR2" 3.666667 11.58 2010 "A" 154
"497" "2893" 10 13 "CR2" 3.458333 8.74 2011 "A" 165
"505" "2896" 3 6 "CR4" 3.125 12.17 2003 "B" 72
"506" "2896" 4 7 "CR4" 3.375 12.65 2004 "B" 86
"507" "2896" 5 8 "CR4" 2.833333 9.72 2005 "B" 98
"508" "2899" 2 5 "CR4" 3.5 10.1 2002 "B" 61
"509" "2899" 3 6 "CR4" 3.75 11.33 2003 "C" 76
"510" "2899" 4 7 "CR4" 3.75 11.62 2004 "C" 87
"511" "2899" 5 8 "CR4" 3.625 11.88 2006 "A" 105
"512" "2899" 6 9 "CR4" 3.416667 10.93 2006 "D" 116
"513" "2899" 7 10 "CR4" 3.375 8.16 2008 "A" 129
"514" "2899" 8 12 "CR4" 3.25 8.78 2009 "B" 144
"515" "2899" 9 13 "CR4" 3.166667 8.07 2010 "C" 159
"516" "2901" 3 5 "CR4" 3.5 8.79 2003 "A" 69
"517" "2904" 2 5 "CR4" 2.75 10.08 2003 "A" 68
"518" "2905" 2 5 "CR4" 3.5 9.36 2002 "C" 63
"519" "2905" 3 6 "CR4" 3.625 10.35 2003 "C" 74
"520" "2909" 2 5 "CR4" 3.25 10.37 2002 "C" 63
"521" "2910" 2 5 "CR4" 3.5 7.45 2002 "B" 60
"522" "2910" 3 6 "CR4" 3.375 10.46 2003 "C" 75
"523" "2911" 2 5 "CR4" 3.25 11.94 2002 "B" 60
"524" "2911" 3 6 "CR4" 3.5 10.57 2003 "C" 74
"525" "2911" 4 7 "CR4" 3.583333 11.69 2004 "D" 90
"526" "2911" 5 8 "CR4" 3.625 10.99 2005 "D" 102
"527" "2911" 6 9 "CR4" 2.875 7.34 2007 "A" 117
"528" "2912" 2 5 "CR4" 3.5 11.23 2002 "B" 60
"529" "2912" 3 6 "CR4" 3.375 10.5 2003 "B" 73
"530" "2912" 4 7 "CR4" 3.1875 10.7 2004 "D" 90
"531" "2912" 5 8 "CR4" 3.25 11.12 2006 "A" 104
"532" "2912" 6 10 "CR4" 3.375 12.92 2007 "C" 123
"533" "2912" 7 11 "CR4" 3 7.31 2008 "B" 132
"534" "2912" 8 11 "CR4" 3 8.83 2009 "A" 142
"535" "2912" 9 12 "CR4" 3.166667 9.89 2009 "D" 151
"536" "2913" 2 5 "CR4" 3.5 11.19 2002 "C" 64
"537" "2913" 3 6 "CR4" 3.5 10.16 2003 "C" 75
"538" "2914" 3 5 "CR4" 3.25 11.78 2003 "A" 70
"539" "2914" 4 6 "CR4" 3.5 12.48 2004 "A" 80
"540" "2914" 5 7 "CR4" 2.75 12.4 2005 "A" 93
"541" "2915" 3 5 "CR4" 3.25 11.07 2003 "A" 69
"542" "2918" 3 5 "CR3" 3.25 12.55 2003 "A" 67
"543" "2918" 4 6 "CR3" 3.5 12.99 2004 "A" 82
"544" "2918" 5 8 "CR3" 3.166667 12.04 2005 "C" 98
"545" "2918" 6 9 "CR3" 3 9.68 2006 "B" 108
"546" "2918" 7 10 "CR3" 3 8.66 2007 "D" 125
"547" "2919" 2 4 "CR4" 2.75 6.64 2002 "A" 57
"548" "2919" 3 5 "CR4" 3.25 7.34 2003 "B" 71
"549" "2920" 2 4 "CR4" 3.25 13.17 2002 "A" 57
"550" "2920" 3 5 "CR4" 3.625 14.33 2003 "B" 71
"551" "2920" 4 6 "CR4" 3.375 12.62 2004 "B" 82
"552" "2920" 5 7 "CR4" 3.4375 10.18 2005 "A" 93
"553" "2920" 6 8 "CR4" 3.25 12.21 2006 "A" 104
"554" "2920" 7 9 "CR4" 3.375 11.15 2007 "A" 115
"555" "2921" 2 5 "CR4" 3.25 10.48 2002 "C" 63
"556" "2921" 3 6 "CR4" 3.5 9.43 2003 "C" 75
"557" "2921" 4 7 "CR4" 3.625 9.82 2004 "C" 87
"558" "2922" 2 5 "CR3" 3.25 13.43 2002 "C" 61
"559" "2922" 3 6 "CR3" 3.5 12.21 2003 "C" 74
"560" "2922" 4 7 "CR3" 3.25 11.8 2005 "A" 93
"561" "2922" 5 9 "CR3" 3 13.94 2006 "C" 110
"562" "2922" 6 10 "CR3" 2.875 13.24 2007 "C" 122
"563" "2922" 7 11 "CR3" 3.25 5.21 2008 "B" 132
"564" "2922" 8 12 "CR3" 3.166667 15.8 2009 "C" 145
"565" "2924" 2 5 "CR2" 3.75 11 2002 "C" 62
"566" "2924" 3 6 "CR2" 3.625 12.98 2003 "D" 77
"567" "2924" 4 7 "CR2" 3.45 11.65 2004 "D" 89
"568" "2924" 5 8 "CR2" 3.75 10.94 2006 "A" 105
"569" "2924" 6 9 "CR2" 3.5 12.88 2007 "A" 117
"570" "2924" 7 10 "CR2" 3.75 6.99 2008 "A" 127
"571" "2926" 1 5 "CR4" 3.5 10.32 2002 "D" 65
"572" "2926" 2 6 "CR4" 3.625 13.2 2004 "A" 78
"573" "2926" 3 7 "CR4" 3.625 10.7 2004 "D" 90
"574" "2926" 4 8 "CR4" 3.75 9.91 2006 "A" 103
"575" "2927" 3 5 "CR4" 3.625 10.47 2003 "B" 70
"576" "2927" 4 6 "CR4" 3.625 14.74 2004 "B" 82
"577" "2931" 2 5 "CR4" 3.25 9.78 2003 "A" 66
"578" "2931" 3 6 "CR4" 3.25 11.84 2004 "A" 79
"579" "2931" 4 7 "CR4" 2.8125 10.5 2005 "A" 91
"580" "2931" 5 8 "CR4" 2.125 6.63 2006 "B" 105
"581" "2934" 2 5 "CR4" 3.25 10.6 2002 "C" 60
"582" "2934" 3 5 "CR4" 3.375 9.29 2003 "B" 71
"583" "2934" 4 7 "CR4" 3 9.68 2004 "C" 85
"584" "2934" 5 8 "CR4" 3.125 10.77 2006 "A" 102
"585" "2936" 2 4 "CR3" 3.25 9.81 2001 "D" 52
"586" "2936" 3 5 "CR3" 3.25 12.1 2003 "B" 68
"587" "2936" 4 6 "CR3" 3.5 9.49 2004 "A" 79
"588" "2941" 3 5 "CR4" 3.625 13.54 2003 "A" 67
"589" "2941" 4 6 "CR4" 3.75 14.45 2004 "A" 79
"590" "2941" 5 7 "CR4" 3.375 13 2005 "A" 91
"591" "2941" 6 8 "CR4" 3.625 9.64 2006 "A" 103
"592" "2941" 7 9 "CR4" 3.583333 8.96 2007 "B" 116
"593" "2942" 2 5 "CR4" 3.5 12.49 2003 "A" 66
"594" "2942" 3 6 "CR4" 3.5 14 2004 "A" 78
"595" "2942" 4 7 "CR4" 3.5 10.09 2004 "D" 86
"596" "2942" 5 8 "CR4" 3.333333 13.73 2005 "C" 97
"597" "2942" 6 9 "CR4" 3.125 7.98 2006 "C" 109
"598" "2942" 7 10 "CR4" 3.25 10.09 2008 "B" 128
"599" "2942" 8 12 "CR4" 3.375 7.59 2010 "A" 150
"600" "2943" 3 5 "CR3" 3.5 10.56 2003 "A" 65
"601" "2943" 4 6 "CR3" 3.5 12.85 2003 "D" 76
"602" "2943" 5 7 "CR3" 3.3125 12.28 2005 "A" 89
"603" "2943" 6 8 "CR3" 3.5 9.99 2006 "A" 102
"604" "2943" 7 10 "CR3" 3.5 10.14 2008 "A" 125
"605" "2943" 8 12 "CR3" 2.833333 9.77 2009 "D" 146
"606" "2944" 3 5 "CR4" 3.25 11 2003 "B" 68
"607" "2948" 3 5 "CR4" 3.5 8.01 2002 "D" 64
"608" "2948" 4 6 "CR4" 3.625 12.96 2003 "D" 76
"609" "2948" 5 7 "CR4" 3.416667 10.35 2004 "D" 86
"610" "2948" 6 8 "CR4" 3.375 10.67 2005 "D" 98
"611" "2948" 7 9 "CR4" 3.333333 10.73 2006 "D" 111
"612" "2948" 8 10 "CR4" 3.5 7.77 2007 "D" 123
"613" "2950" 3 5 "CR4" 3.75 11.17 2003 "B" 70
"614" "2950" 4 7 "CR4" 3.416667 12.63 2005 "A" 90
"615" "2950" 5 8 "CR4" 3.375 8.73 2006 "A" 100
"616" "2953" 2 4 "CR4" 3.5 8.94 2002 "B" 56
"617" "2953" 3 5 "CR4" 3.5 11.59 2003 "B" 69
"618" "2953" 4 6 "CR4" 3.5 11.14 2004 "C" 82
"619" "2954" 2 5 "CR4" 3.5 9.51 2002 "C" 60
"620" "2954" 3 6 "CR4" 3.375 13.35 2004 "A" 76
"621" "2954" 4 7 "CR4" 3.375 12.19 2005 "A" 88
"622" "2954" 5 8 "CR4" 3.25 11.67 2005 "D" 99
"623" "2954" 6 9 "CR4" 2.583333 8.72 2007 "A" 112
"625" "2955" 2 4 "CR3" 3.25 10.78 2002 "B" 55
"626" "2955" 3 5 "CR3" 3.375 12.01 2003 "B" 67
"627" "2955" 4 6 "CR3" 3.5 12.27 2004 "A" 77
"628" "2955" 5 8 "CR3" 3.75 10.67 2005 "D" 98
"629" "2955" 6 9 "CR3" 3.333333 11.3 2006 "D" 109
"630" "2955" 7 10 "CR3" 3.5 11.89 2007 "D" 123
"631" "2955" 8 11 "CR3" 3.583333 11.13 2009 "A" 138
"632" "2955" 9 12 "CR3" 3.416667 9.72 2010 "B" 153
"624" "2955" 10 13 "CR3" 2.875 9.97 2011 "C" 167
"633" "2959" 2 5 "CR4" 2.875 11.67 2003 "A" 66
"634" "2959" 3 6 "CR4" 3.375 11.37 2004 "A" 78
"635" "2959" 4 8 "CR4" 3.375 11.46 2005 "D" 98
"636" "2959" 5 9 "CR4" 3.25 12.85 2007 "A" 114
"637" "2959" 6 10 "CR4" 3 9.28 2008 "A" 125
"638" "2959" 7 11 "CR4" 2.75 12.97 2009 "C" 142
"639" "2961" 3 5 "CR4" 3.25 10.51 2003 "A" 65
"640" "2961" 4 6 "CR4" 3 13.38 2004 "B" 79
"641" "2961" 5 7 "CR4" 3.0625 12 2005 "B" 91
"642" "2961" 6 8 "CR4" 3.083333 9.6 2006 "B" 104
"643" "2961" 7 10 "CR4" 3.125 8.52 2007 "D" 122
"644" "2961" 8 11 "CR4" 3.25 12.95 2009 "B" 141
"645" "2961" 9 12 "CR4" 3.25 6.32 2010 "C" 154
"646" "2962" 2 4 "CR4" 3.25 9.23 2002 "C" 58
"647" "2966" 3 4 "CR4" 3.25 12.83 2002 "C" 59
"648" "2966" 4 5 "CR4" 3.75 13.48 2003 "C" 71
"649" "2966" 5 6 "CR4" 3.666667 13.46 2004 "C" 82
"650" "2966" 6 8 "CR4" 3.5 9.29 2005 "D" 96
"651" "2967" 3 5 "CR4" 3.5 10.66 2003 "A" 63
"652" "2967" 4 6 "CR4" 3.5 12.4 2003 "D" 73
"653" "2970" 3 5 "CR4" 3.375 11.84 2003 "B" 65
"654" "2970" 4 7 "CR4" 3.3125 10.53 2005 "B" 90
"655" "2970" 5 9 "CR4" 3.083333 12.66 2006 "D" 110
"656" "2970" 6 10 "CR4" 2.833333 7.62 2007 "D" 121
"657" "2971" 2 4 "CR3" 3.5 9.38 2002 "C" 58
"658" "2971" 3 5 "CR3" 3.625 11.14 2003 "C" 71
"659" "2971" 4 6 "CR3" 3.375 10.2 2004 "C" 82
"660" "2971" 5 7 "CR3" 3.083333 8.74 2005 "C" 93
"661" "2973" 3 5 "CR4" 3 12.15 2003 "A" 62
"662" "2973" 4 6 "CR4" 3.5 13.7 2004 "A" 74
"663" "2973" 5 7 "CR4" 3.5 5.05 2004 "D" 84
"665" "2976" 3 5 "CR4" 3 11.35 2003 "A" 62
"666" "2976" 4 6 "CR4" 3.25 12 2004 "A" 74
"667" "2976" 5 7 "CR4" 3 11.54 2005 "A" 86
"668" "2976" 6 8 "CR4" 3.125 10.88 2006 "A" 98
"669" "2976" 7 9 "CR4" 3.166667 12.25 2007 "A" 111
"670" "2976" 8 10 "CR4" 2.875 10.27 2008 "A" 124
"671" "2976" 9 11 "CR4" 3 10.71 2009 "C" 141
"664" "2976" 10 12 "CR4" 2.85 8.23 2010 "D" 156
"672" "2978" 2 4 "CR4" 3.75 12.03 2002 "B" 52
"673" "2978" 3 5 "CR4" 3.625 14.15 2003 "D" 71
"674" "2979" 2 5 "CR3" 3.5 8.68 2003 "A" 62
"675" "2979" 3 6 "CR3" 3.375 9.58 2004 "B" 76
"676" "2979" 4 7 "CR3" 2.583333 8.79 2005 "B" 90
"677" "2980" 2 4 "CR4" 3.5 12.57 2002 "D" 58
"678" "2980" 3 5 "CR4" 3.5 11.91 2003 "D" 69
"679" "2980" 4 6 "CR4" 3.333333 9.9 2004 "D" 83
"680" "2980" 5 7 "CR4" 3.25 10.27 2005 "D" 95
"681" "2980" 6 9 "CR4" 3.333333 12.06 2007 "A" 111
"682" "2980" 7 10 "CR4" 3.375 11.21 2008 "C" 128
"683" "2980" 8 12 "CR4" 3.3125 10.2 2010 "A" 146
"684" "2980" 9 13 "CR4" 2.875 7.74 2011 "B" 159
"685" "2982" 3 5 "CR4" 3.25 8.49 2003 "A" 62
"686" "2982" 4 6 "CR4" 3.125 10.94 2004 "B" 75
"687" "2982" 5 7 "CR4" 2.625 9.39 2005 "A" 87
"688" "2986" 3 5 "CR4" 3.5 11.2 2003 "A" 60
"689" "2986" 4 5 "CR4" 3.625 12.58 2003 "D" 71
"690" "2987" 2 5 "CR4" 3.5 12.33 2003 "A" 61
"691" "2987" 3 6 "CR4" 3.5 11.86 2004 "A" 74
"692" "2987" 4 7 "CR4" 3.75 11.56 2005 "D" 94
"693" "2988" 2 4 "CR4" 3.25 11.66 2002 "B" 52
"694" "2988" 3 5 "CR4" 3.625 11.78 2003 "B" 64
"695" "2988" 4 6 "CR4" 3.5 14.49 2004 "D" 82
"696" "2988" 5 7 "CR4" 3.5 13.27 2005 "D" 94
"697" "2988" 6 8 "CR4" 3.0625 8.2 2006 "D" 107
"698" "2989" 2 4 "CR3" 3.5 12.5 2002 "C" 55
"699" "2989" 3 5 "CR3" 3.5 12.02 2003 "D" 70
"700" "2989" 4 6 "CR3" 3.5625 11.77 2004 "D" 83
"701" "2989" 5 8 "CR3" 3.625 9.3 2006 "B" 99
"702" "2989" 6 9 "CR3" 3.5 9.85 2007 "D" 117
"703" "2989" 7 11 "CR3" 3.583333 11.85 2009 "A" 132
"704" "2989" 8 12 "CR3" 3.5 9.28 2010 "C" 151
"705" "2992" 3 4 "CR4" 3.75 12.47 2002 "D" 57
"706" "2992" 4 5 "CR4" 3.875 14.22 2004 "A" 71
"707" "2992" 5 6 "CR4" 3.6875 14.1 2005 "A" 83
"708" "2992" 6 8 "CR4" 3.75 12.38 2006 "A" 96
"709" "2992" 7 8 "CR4" 3.5 13.26 2007 "A" 107
"710" "2992" 8 9 "CR4" 3.25 7.5 2007 "D" 118
"711" "2993" 1 4 "CR4" 3.5 9.89 2002 "C" 54
"712" "2993" 2 5 "CR4" 3.5 10.01 2003 "D" 68
"713" "2993" 3 6 "CR4" 3.5 10.84 2004 "C" 79
"714" "2993" 4 7 "CR4" 3.583333 7.74 2005 "C" 92
"715" "2994" 1 4 "CR4" 3 9.66 2002 "C" 55
"716" "2994" 2 5 "CR4" 3.375 10.63 2003 "C" 67
"717" "2994" 3 6 "CR4" 3.25 12.26 2004 "D" 80
"718" "2994" 4 7 "CR4" 2.875 9.63 2005 "D" 94
"719" "2996" 2 4 "CR4" 3.75 8.3 2002 "B" 51
"720" "2996" 3 5 "CR4" 3.625 13.9 2003 "B" 64
"721" "2996" 4 6 "CR4" 3.5 13.56 2004 "C" 78
"722" "2997" 2 4 "CR4" 3.25 10.37 2002 "B" 52
"723" "2997" 3 5 "CR4" 3.375 9.98 2003 "B" 64
"724" "2997" 4 6 "CR4" 3 8.95 2004 "C" 77
"725" "3001" 2 4 "CR4" 3.5 8.53 2002 "B" 51
"726" "3001" 3 5 "CR4" 3.625 12.46 2003 "C" 66
"727" "3001" 4 6 "CR4" 3.5 10.87 2004 "C" 79
"728" "3001" 5 7 "CR4" 3.625 11.16 2005 "D" 93
"729" "3001" 6 9 "CR4" 3.25 11.59 2007 "B" 110
"730" "3001" 7 10 "CR4" 3.5 16.69 2008 "B" 123
"731" "3001" 8 11 "CR4" 3.583333 18.34 2009 "C" 139
"732" "3001" 9 12 "CR4" 3 9.43 2010 "D" 152
"733" "3002" 1 4 "CR4" 3.25 8.43 2002 "B" 50
"734" "3002" 2 5 "CR4" 3.375 12.1 2003 "D" 69
"735" "3002" 3 6 "CR4" 3.166667 9.96 2004 "D" 79
"736" "3002" 4 7 "CR4" 3.5 9.32 2005 "D" 94
"737" "3002" 5 8 "CR4" 3.416667 9.4 2007 "A" 107
"738" "3002" 6 10 "CR4" 3.5 7.94 2008 "B" 123
"739" "3002" 7 11 "CR4" 3.5 8.48 2009 "C" 138
"740" "3002" 8 12 "CR4" 3.46875 6.67 2010 "D" 152
"741" "3003" 2 4 "CR4" 3.25 6.6 2002 "C" 54
"742" "3005" 2 4 "CR3" 3.5 9.71 2002 "D" 57
"743" "3005" 3 5 "CR3" 3.5 9.9 2003 "D" 68
"744" "3007" 2 4 "CR3" 3.5 13.1 2002 "C" 53
"745" "3007" 3 5 "CR3" 3.5 11.33 2003 "C" 64
"746" "3009" 1 4 "CR4" 3.75 7.57 2002 "C" 54
"747" "3009" 2 6 "CR4" 3.625 9.55 2004 "B" 73
"748" "3009" 3 7 "CR4" 3.75 9.5 2005 "C" 89
"749" "3009" 4 8 "CR4" 3.666667 8.59 2006 "C" 102
"750" "3011" 1 4 "CR4" 2.75 11.06 2003 "A" 58
"751" "3011" 2 5 "CR4" 3.25 10.75 2003 "D" 69
"752" "3011" 3 6 "CR4" 3.25 11.19 2005 "A" 82
"753" "3011" 4 7 "CR4" 3.5 8.09 2005 "D" 91
"754" "3012" 2 4 "CR4" 3 9.83 2002 "D" 54
"755" "3012" 3 5 "CR4" 3.5 9.65 2003 "C" 66
"756" "3012" 4 6 "CR4" 3.5 10.5 2004 "C" 77
"757" "3013" 1 4 "CR4" 3.25 9.52 2002 "C" 51
"758" "3013" 2 5 "CR4" 3.375 10.45 2003 "C" 65
"759" "3013" 3 6 "CR4" 3.375 10.01 2004 "D" 78
"760" "3013" 4 7 "CR4" 3.166667 10.89 2005 "C" 90
"761" "3013" 5 8 "CR4" 3 9.52 2006 "C" 101
"762" "3013" 6 9 "CR4" 3.166667 9.59 2007 "C" 114
"763" "3013" 7 11 "CR4" 3.5 10.74 2009 "B" 132
"764" "3013" 8 12 "CR4" 3.166667 8.12 2010 "B" 146
"765" "3013" 9 13 "CR4" 2.785714 7.06 2011 "C" 160
"766" "3015" 3 5 "CR4" 3.375 6.49 2003 "C" 64
"767" "3015" 4 6 "CR4" 3.5 11.34 2004 "C" 76
"768" "3015" 5 7 "CR4" 3.25 10.61 2005 "C" 87
"769" "3015" 6 8 "CR4" 3.25 10.24 2006 "C" 101
"770" "3015" 7 9 "CR4" 2.916667 8.73 2007 "C" 113
"771" "3017" 2 4 "CR4" 3 8.56 2002 "D" 54
"772" "3018" 1 4 "CR4" 3.5 8.65 2002 "B" 49
"773" "3025" 2 4 "CR4" 3.5 11.39 2003 "B" 59
"774" "3025" 3 5 "CR4" 3.625 11.68 2004 "A" 70
"775" "3026" 1 4 "CR4" 3 10.78 2002 "C" 51
"776" "3026" 2 5 "CR4" 3.125 11.15 2003 "C" 63
"777" "3026" 3 6 "CR4" 2.8125 11.09 2004 "D" 78
"778" "3026" 4 8 "CR4" 3.1875 8.8 2006 "C" 98
"779" "3027" 1 4 "CR4" 2.75 10 2002 "C" 51
"780" "3027" 2 5 "CR4" 3.375 9.53 2003 "C" 64
"781" "3027" 3 6 "CR4" 3.166667 10.14 2004 "D" 78
"782" "3027" 4 7 "CR4" 3.375 9.26 2005 "D" 90
"783" "3027" 5 9 "CR4" 3.166667 10.61 2007 "B" 108
"784" "3027" 6 10 "CR4" 3.125 9.48 2008 "C" 122
"785" "3027" 7 11 "CR4" 3.25 10.64 2010 "A" 141
"786" "3028" 1 4 "CR4" 3.5 8.18 2002 "C" 50
"787" "3029" 2 4 "CR4" 3 7.91 2002 "C" 52
"788" "3029" 3 5 "CR4" 3.375 8.65 2003 "C" 64
"789" "3030" 1 4 "CR4" 3.5 9.72 2002 "D" 54
"790" "3030" 2 5 "CR4" 3.375 11.52 2004 "B" 71
"791" "3030" 3 6 "CR4" 3.25 9.68 2005 "A" 82
"792" "3030" 4 8 "CR4" 3.25 10.17 2006 "C" 98
